algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_ROC_AUC,RANGE_PR_VOLUME
COF,test1,sine_with_amplitude,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.118417978286743,,Status.OK,,1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,0.46625,0.9296286493958646,0.6068187151346269
COF,test2,polynomial_with_extremum,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.0944249629974365,,Status.OK,,1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,0.7231372549019608,0.7358127442099593,0.5222453689195236
COF,test3,random_walk_with_variance,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.493594169616699,,Status.OK,,1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,0.9696969696969697,0.8361657175670396,0.7065463966566511
COF,test4,ecg_with_frequency,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/last_mlts_proj/results/2024_01_09_22_54_49/COF/507aaea1141c95e8718e71d965e42aa9/test4/ecg_with_frequency/1!"")",1,"{""n_neighbors"": 50, ""random_state"": 42}",507aaea1141c95e8718e71d965e42aa9,,,
k-Means,test1,sine_with_amplitude,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.403264045715332,,Status.OK,,1,"{""anomaly_window_size"": 10, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,0.090625,0.8786484636493584,0.39486351713753526
k-Means,test2,polynomial_with_extremum,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.346266984939575,,Status.OK,,1,"{""anomaly_window_size"": 10, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,0.0,0.915352466465413,0.3964345438939102
k-Means,test3,random_walk_with_variance,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.462071180343628,,Status.OK,,1,"{""anomaly_window_size"": 15, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,0.7575757575757576,0.9719445849940644,0.6325783460263733
k-Means,test4,ecg_with_frequency,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,,,Status.ERROR,"DockerAlgorithmFailedError(""Status '1', please consider log files in /Users/wadimoughanim/Documents/education/Master_MVA/last_mlts_proj/results/2024_01_09_22_54_49/k-Means/cfa90897b46b014c796de1ba98df27f8/test4/ecg_with_frequency/1!"")",1,"{""anomaly_window_size"": 20, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,,,
KNN,test1,sine_with_amplitude,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.429763078689575,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.5184375000000001,0.9304528215032206,0.6147593675666826
KNN,test2,polynomial_with_extremum,UNSUPERVISED,MULTIVARIATE,UNSUPERVISED,UNIVARIATE,,,,2.29158091545105,,Status.OK,,1,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42}",da57e09e2b4ad4d568a26dd67f170158,0.6776470588235294,0.7602288213926469,0.5109569286726678
